Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Research on child and adolescent psychopathology.,Res Child Adolesc Psychopathol,2730-7166,2730-7174,United States,Pediatrics; Psychiatry; Psychology,2020,101773609
Santé mentale au Québec.,Sante Ment Que,0383-6320,1708-3923,Canada,Health Services; Psychiatry; Psychology,1976,9424773
Scandinavian journal of psychology.,Scand J Psychol,0036-5564,1467-9450,England,Psychology,1960,0404510
School psychology.,Sch Psychol,2578-4218,2578-4226,United States,Education; Psychology,2019,101743576
Spanish journal of psychiatry and mental health.,Span J Psychiatry Ment Health,,2950-2853,Spain,Psychiatry; Psychology,2023,9918697477806676
Stress and health : journal of the International Society for the Investigation of Stress.,Stress Health,1532-3005,1532-2998,England,Psychology,2001,101089166
The American journal of clinical hypnosis.,Am J Clin Hypn,0002-9157,2160-0562,United States,Psychology; Therapeutics,1958,0100626
The American journal of orthopsychiatry.,Am J Orthopsychiatry,0002-9432,1939-0025,United States,Psychiatry; Psychology,1930,0400640
The American psychologist.,Am Psychol,0003-066X,1935-990X,United States,Psychology,1946,0370521
The Behavioral and brain sciences.,Behav Brain Sci,0140-525X,1469-1825,England,Behavioral Sciences; Brain; Neurology; Psychology,1978,7808666
The British journal of clinical psychology,Br J Clin Psychol,0144-6657,,England,Psychology,1981,8105533
The British journal of developmental psychology.,Br J Dev Psychol,0261-510X,2044-835X,England,Pediatrics; Psychology,1983,8308022
The British journal of educational psychology.,Br J Educ Psychol,0007-0998,2044-8279,England,Education; Psychology,1931,0370636
The British journal of mathematical and statistical psychology.,Br J Math Stat Psychol,0007-1102,2044-8317,England,Psychology; Statistics as Topic,1965,0004047
The British journal of social psychology,Br J Soc Psychol,0144-6665,2044-8309,England,Psychology,1981,8105534
The Clinical neuropsychologist.,Clin Neuropsychol,1385-4046,1744-4144,England,Neurology; Psychology,1987,8806548
The International journal of clinical and experimental hypnosis.,Int J Clin Exp Hypn,0020-7144,1744-5183,England,Psychology; Therapeutics,1959,0376166
The Journal of analytical psychology.,J Anal Psychol,0021-8774,1468-5922,England,Psychology,1955,0376573
The Journal of applied psychology.,J Appl Psychol,0021-9010,1939-1854,United States,Psychology,1917,0222526
The Journal of general psychology.,J Gen Psychol,0022-1309,1940-0888,United States,Psychology,1928,2985111R
The Journal of genetic psychology.,J Genet Psychol,0022-1325,1940-0896,United States,Behavioral Sciences; Genetics; Psychology,1954,2985112R
The Journal of psychology.,J Psychol,0022-3980,1940-1019,United States,Psychology,1935,0376332
The Journal of social psychology.,J Soc Psychol,0022-4545,1940-1183,United States,Psychology,1930,0376372
The Spanish journal of psychology.,Span J Psychol,1138-7416,1988-2904,England,Psychology,1998,101095192
The journal of mental health policy and economics.,J Ment Health Policy Econ,1091-4358,1099-176X,Italy,Health Services; Psychology; Public Health,1998,9815374
The journal of pastoral care & counseling : JPCC.,J Pastoral Care Counsel,1542-3050,2167-776X,United States,Psychology,2002,101144384
"The journals of gerontology. Series B, Psychological sciences and social sciences.",J Gerontol B Psychol Sci Soc Sci,1079-5014,1758-5368,United States,Geriatrics; Psychology; Social Sciences,1995,9508483
The quarterly journal of experimental psychology : QJEP.,Q J Exp Psychol (Hove),1747-0218,1747-0226,England,Psychology; Psychophysiology,2006,101259775
Topics in cognitive science.,Top Cogn Sci,1756-8757,1756-8765,United States,Psychology,2009,101506764
Trends in cognitive sciences.,Trends Cogn Sci,1364-6613,1879-307X,England,Psychology,1997,9708669
Violence and victims.,Violence Vict,0886-6708,,United States,Behavioral Sciences; Psychology,1986,8916436
Wiley interdisciplinary reviews. Cognitive science.,Wiley Interdiscip Rev Cogn Sci,1939-5078,1939-5086,United States,Psychology,2010,101524169
